"tid","geom","id_0","id","name","prefecture","address","country","product","product_na","quality","activity","duration","addrtype","addrlocat"
44,"0104000020E6100000010000000101000000FA788D02E91F36404BB6155685F24240",44,"68","ΑΓΡ. ΓΑΛΑΚΤ. ΣΥΝ. ΚΑΛΑΒΡΥΤΩΝ","ΑΧΑΪΑΣ","Καλάβρυτα του Ν. Αχα?ας","Ελλάδα","ΤΥΡΙ","ΦΕΤΑ","Π.Ο.Π.","παρ/γη, συσ/σια, εμπορία","21.03.2015 έως 20.03.2018","locality","APPROXIMATE"
45,"0104000020E610000001000000010100000031934D5E09633540322C353113284440",45,"69","ΑΓΡ. ΚΤΗΝ. ΣΥΝΕΤΑΙΡΙΣΜΟΣ ΒΟΪΌΥ","ΚΟΖΑΝΗΣ","Νεάπολη του Ν. Κοζάνης","Ελλάδα","ΤΥΡΙ","ΦΕΤΑ","Π.Ο.Π.","παρ/γη, συσ/σια, εμπορία","10.02.2015 έως 09.02.2018","locality","APPROXIMATE"
46,"0104000020E610000001000000010100000031934D5E09633540322C353113284440",46,"70","ΑΓΡ. ΚΤΗΝ. ΣΥΝΕΤΑΙΡΙΣΜΟΣ ΒΟΪΌΥ","ΚΟΖΑΝΗΣ","Νεάπολη του Ν. Κοζάνης","Ελλάδα","ΤΥΡΙ","ΜΠΑΤΖΟΣ","Π.Ο.Π.","παρ/γη, συσ/σια, εμπορία","07.05.2015 έως 06.05.2018","locality","APPROXIMATE"
47,"0104000020E61000000100000001010000003126FDBD14563A40C082EAD5B6A74340",47,"71","ΑΓΡ.ΣΥΝ. ΜΑΝΤΑΜΑΔΟΥ","ΛΕΣΒΟΥ","Μανταμάδος του Ν. Λέσβου","Ελλάδα","ΤΥΡΙ","ΦΕΤΑ","Π.Ο.Π.","παρ/γη, συσ/σια, εμπορία","21.03.2017 έως 20.03.2020","locality","APPROXIMATE"
48,"0104000020E61000000100000001010000003126FDBD14563A40C082EAD5B6A74340",48,"72","ΑΓΡ.ΣΥΝ. ΜΑΝΤΑΜΑΔΟΥ","ΛΕΣΒΟΥ","Μανταμάδο του Ν. Λέσβου","Ελλάδα","ΤΥΡΙ","ΛΑΔΟΤΥΡΙ ΜΥΤΙΛΗΝΗΣ","Π.Ο.Π.","παρ/γη, συσ/σια, εμπορία","09.04.2017 έως 08.04.2020","locality","APPROXIMATE"
49,"0104000020E6100000010000000101000000658C0FB397B138402A50300851AF4140",49,"73","ΑΓΡ.ΣΥΝ. ΜΥΛΟΠΟΤΑΜΟΥ","ΡΕΘΥΜΝΗΣ","Πέραμα Γεροποτάμου του                          Ν. Ρεθύμνης","Ελλάδα","ΤΥΡΙ","ΓΡΑΒΙΕΡΑ ΚΡΗΤΗΣ","Π.Ο.Π.","παρ/γη, συσ/σια, εμπορία","22.03.2017 έως 21.03.2020","establishment","GEOMETRIC_CENTER"
73,"0104000020E61000000100000001010000006A06A7F402783640CA91297A3BEA4340",73,"111","ΑΦΟΙ ΑΒΡΑΜΟΥΛΗ Δ. Ο.Ε.","ΛΑΡΙΣΑΣ","Παραπόταμος του Ν. Λαρίσης","Ελλάδα","ΤΥΡΙ","ΜΑΝΟΥΡΙ","Π.Ο.Π.","παρ/γη, συσ/σια, εμπορία","14.04.2015 έως 13.04.2018","locality","APPROXIMATE"
50,"0104000020E6100000010000000101000000658C0FB397B138402A50300851AF4140",50,"74","ΑΓΡ.ΣΥΝ. ΜΥΛΟΠΟΤΑΜΟΥ","ΡΕΘΥΜΝΗΣ","Πέραμα Γεροποτάμου του                          Ν. Ρεθύμνης","Ελλάδα","ΤΥΡΙ","ΞΥΝΟΜΥΖΗΘΡΑ ΚΡΗΤΗΣ","Π.Ο.Π.","παρ/γη, συσ/σια, εμπορία","22.03.2017 έως 21.03.2020","establishment","GEOMETRIC_CENTER"
51,"0104000020E6100000010000000101000000C7269E584C773840A9447EA257AC4140",51,"75","ΑΓΡ.ΣΥΝ. ΡΕΘΥΜΝΗΣ ""ΕΝΩΣΗ Α.Σ.Ρ.""","ΡΕΘΥΜΝΗΣ","Τρία Μοναστήρια του Ν. Ρεθύμνης","Ελλάδα","ΤΥΡΙ","ΓΡΑΒΙΕΡΑ ΚΡΗΤΗΣ","Π.Ο.Π.","παρ/γη, συσ/σια, εμπορία","22.07.2015 έως 21.07.2018","locality","APPROXIMATE"
52,"0104000020E6100000010000000101000000D1AD7C3B2E073840F74E16084C8E4440",52,"78","ΑΓΡΟΚΤΗΝΟΤΡΟΦΙΚΟΣ ΒΙΟΜ. ΣΥΝ. ΠΡΟΣΟΤΣΑΝΗΣ ""ΜΕΝΟΙΚΙΟ""","ΔΡΑΜΑΣ","Προσοτσάνη του Ν. Δράμας","Ελλάδα","ΤΥΡΙ","ΦΕΤΑ","Π.Ο.Π.","παρ/γη, συσ/σια, εμπορία","06.03.2017 έως 05.03.2020","locality","APPROXIMATE"
