"legtype","agrarea","indic_ef","geo","time","values"
"TOTAL","TOTAL","HOLD_HOLD","PL12","2013",211020
"TOTAL","TOTAL","HOLD_HOLD","PL21","2013",143070
"TOTAL","TOTAL","HOLD_HOLD","PL22","2013",56720
"TOTAL","TOTAL","HOLD_HOLD","PL31","2013",178910
"TOTAL","TOTAL","HOLD_HOLD","PL32","2013",133080
"TOTAL","TOTAL","HOLD_HOLD","PL33","2013",91520
"TOTAL","TOTAL","HOLD_HOLD","PL34","2013",79880
"TOTAL","TOTAL","HOLD_HOLD","PL41","2013",122510
"TOTAL","TOTAL","HOLD_HOLD","PL42","2013",29190
"TOTAL","TOTAL","HOLD_HOLD","PL43","2013",21320
"TOTAL","TOTAL","HOLD_HOLD","PL51","2013",59260
"TOTAL","TOTAL","HOLD_HOLD","PL52","2013",26670
"TOTAL","TOTAL","HOLD_HOLD","PL61","2013",64990
"TOTAL","TOTAL","HOLD_HOLD","PL62","2013",42610
"TOTAL","TOTAL","HOLD_HOLD","PL63","2013",39570
"TOTAL","TOTAL","HOLD_HOLD","PT11","2013",98820
"TOTAL","TOTAL","HOLD_HOLD","PT15","2013",11560
"TOTAL","TOTAL","HOLD_HOLD","PT16","2013",86290
"TOTAL","TOTAL","HOLD_HOLD","PT17","2013",6130
"TOTAL","TOTAL","HOLD_HOLD","PT18","2013",37730
"TOTAL","TOTAL","HOLD_HOLD","PT20","2013",11820
"TOTAL","TOTAL","HOLD_HOLD","PT30","2013",12070
"TOTAL","TOTAL","HOLD_HOLD","RO11","2013",499860
"TOTAL","TOTAL","HOLD_HOLD","RO12","2013",358470
"TOTAL","TOTAL","HOLD_HOLD","RO21","2013",754530
"TOTAL","TOTAL","HOLD_HOLD","RO22","2013",433040
"TOTAL","TOTAL","HOLD_HOLD","RO31","2013",753590
"TOTAL","TOTAL","HOLD_HOLD","RO32","2013",25320
"TOTAL","TOTAL","HOLD_HOLD","RO41","2013",557850
"TOTAL","TOTAL","HOLD_HOLD","RO42","2013",247000
"TOTAL","TOTAL","HOLD_HOLD","SE11","2013",1980
"TOTAL","TOTAL","HOLD_HOLD","SE12","2013",12580
"TOTAL","TOTAL","HOLD_HOLD","SE21","2013",10600
"TOTAL","TOTAL","HOLD_HOLD","SE22","2013",10240
"TOTAL","TOTAL","HOLD_HOLD","SE23","2013",16570
"TOTAL","TOTAL","HOLD_HOLD","SE31","2013",7780
"TOTAL","TOTAL","HOLD_HOLD","SE32","2013",3630
"TOTAL","TOTAL","HOLD_HOLD","SE33","2013",3770
"TOTAL","TOTAL","HOLD_HOLD","SI01","2013",51340
"TOTAL","TOTAL","HOLD_HOLD","SI02","2013",21040
"TOTAL","TOTAL","HOLD_HOLD","SK01","2013",540
"TOTAL","TOTAL","HOLD_HOLD","SK02","2013",7820
"TOTAL","TOTAL","HOLD_HOLD","SK03","2013",8790
"TOTAL","TOTAL","HOLD_HOLD","SK04","2013",6410
"TOTAL","TOTAL","HOLD_HOLD","UKC1","2013",2080
"TOTAL","TOTAL","HOLD_HOLD","UKC2","2013",2220
"TOTAL","TOTAL","HOLD_HOLD","UKD1","2013",4400
"TOTAL","TOTAL","HOLD_HOLD","UKD3","2013",720
"TOTAL","TOTAL","HOLD_HOLD","UKD4","2013",3160
"TOTAL","TOTAL","HOLD_HOLD","UKD6","2013",2400
"TOTAL","TOTAL","HOLD_HOLD","UKD7","2013",230
"TOTAL","TOTAL","HOLD_HOLD","UKE1","2013",2460
"TOTAL","TOTAL","HOLD_HOLD","UKE2","2013",7090
