"legtype","agrarea","indic_ef","geo","time","values"
"TOTAL","TOTAL","AGRAREA_HA","UKC1","2013",219640
"TOTAL","TOTAL","AGRAREA_HA","UKC2","2013",433050
"TOTAL","TOTAL","AGRAREA_HA","UKD1","2013",545030
"TOTAL","TOTAL","AGRAREA_HA","UKD3","2013",40480
"TOTAL","TOTAL","AGRAREA_HA","UKD4","2013",214500
"TOTAL","TOTAL","AGRAREA_HA","UKD6","2013",144050
"TOTAL","TOTAL","AGRAREA_HA","UKD7","2013",18320
"TOTAL","TOTAL","AGRAREA_HA","UKE1","2013",287950
"TOTAL","TOTAL","AGRAREA_HA","UKE2","2013",740140
"TOTAL","TOTAL","AGRAREA_HA","UKE3","2013",85400
"TOTAL","TOTAL","AGRAREA_HA","UKE4","2013",99160
"TOTAL","TOTAL","AGRAREA_HA","UKF1","2013",304400
"TOTAL","TOTAL","AGRAREA_HA","UKF2","2013",363520
"TOTAL","TOTAL","AGRAREA_HA","UKF3","2013",499190
"TOTAL","TOTAL","AGRAREA_HA","UKG1","2013",415450
"TOTAL","TOTAL","AGRAREA_HA","UKG2","2013",431540
"TOTAL","TOTAL","AGRAREA_HA","UKG3","2013",13180
"TOTAL","TOTAL","AGRAREA_HA","UKH1","2013",951950
"TOTAL","TOTAL","AGRAREA_HA","UKH2","2013",174770
"TOTAL","TOTAL","AGRAREA_HA","UKH3","2013",260520
"TOTAL","TOTAL","AGRAREA_HA","UKI1","2013",0
"TOTAL","TOTAL","AGRAREA_HA","UKI2","2013",11090
"TOTAL","TOTAL","AGRAREA_HA","UKJ1","2013",383600
"TOTAL","TOTAL","AGRAREA_HA","UKJ2","2013",315430
"TOTAL","TOTAL","AGRAREA_HA","UKJ3","2013",261590
"TOTAL","TOTAL","AGRAREA_HA","UKJ4","2013",221520
"TOTAL","TOTAL","AGRAREA_HA","UKK1","2013",558620
"TOTAL","TOTAL","AGRAREA_HA","UKK2","2013",494990
"TOTAL","TOTAL","AGRAREA_HA","UKK3","2013",240720
"TOTAL","TOTAL","AGRAREA_HA","UKK4","2013",516390
"TOTAL","TOTAL","AGRAREA_HA","UKL1","2013",1094040
"TOTAL","TOTAL","AGRAREA_HA","UKL2","2013",651500
"TOTAL","TOTAL","AGRAREA_HA","UKM2","2013",1247660
"TOTAL","TOTAL","AGRAREA_HA","UKM3","2013",798340
"TOTAL","TOTAL","AGRAREA_HA","UKM5","2013",478770
"TOTAL","TOTAL","AGRAREA_HA","UKM6","2013",2763560
"TOTAL","TOTAL","AGRAREA_HA","UKN0","2013",1046140
"TOTAL","TOTAL","AGRAREA_HA","AT11","2010",187890
"TOTAL","TOTAL","AGRAREA_HA","AT12","2010",911680
"TOTAL","TOTAL","AGRAREA_HA","AT13","2010",7410
"TOTAL","TOTAL","AGRAREA_HA","AT21","2010",253570
"TOTAL","TOTAL","AGRAREA_HA","AT22","2010",407260
"TOTAL","TOTAL","AGRAREA_HA","AT31","2010",529460
"TOTAL","TOTAL","AGRAREA_HA","AT32","2010",195110
"TOTAL","TOTAL","AGRAREA_HA","AT33","2010",290720
"TOTAL","TOTAL","AGRAREA_HA","AT34","2010",95070
"TOTAL","TOTAL","AGRAREA_HA","BE10","2010",270
"TOTAL","TOTAL","AGRAREA_HA","BE21","2010",89150
"TOTAL","TOTAL","AGRAREA_HA","BE22","2010",83170
"TOTAL","TOTAL","AGRAREA_HA","BE23","2010",149050
"TOTAL","TOTAL","AGRAREA_HA","BE24","2010",87580
"TOTAL","TOTAL","AGRAREA_HA","BE25","2010",207910
"TOTAL","TOTAL","AGRAREA_HA","BE31","2010",62970
"TOTAL","TOTAL","AGRAREA_HA","BE32","2010",217210
"TOTAL","TOTAL","AGRAREA_HA","BE33","2010",159160
"TOTAL","TOTAL","AGRAREA_HA","BE34","2010",143830
"TOTAL","TOTAL","AGRAREA_HA","BE35","2010",157720
"TOTAL","TOTAL","AGRAREA_HA","BG31","2010",881670
"TOTAL","TOTAL","AGRAREA_HA","BG32","2010",806130
"TOTAL","TOTAL","AGRAREA_HA","BG33","2010",804550
"TOTAL","TOTAL","AGRAREA_HA","BG34","2010",874260
"TOTAL","TOTAL","AGRAREA_HA","BG41","2010",480870
"TOTAL","TOTAL","AGRAREA_HA","BG42","2010",628040
"TOTAL","TOTAL","AGRAREA_HA","CH01","2010",157670
"TOTAL","TOTAL","AGRAREA_HA","CH02","2010",369650
"TOTAL","TOTAL","AGRAREA_HA","CH03","2010",83120
"TOTAL","TOTAL","AGRAREA_HA","CH04","2010",73470
"TOTAL","TOTAL","AGRAREA_HA","CH05","2010",216820
"TOTAL","TOTAL","AGRAREA_HA","CH06","2010",132860
"TOTAL","TOTAL","AGRAREA_HA","CH07","2010",14220
"TOTAL","TOTAL","AGRAREA_HA","CY00","2010",118400
"TOTAL","TOTAL","AGRAREA_HA","CZ01","2010",11100
"TOTAL","TOTAL","AGRAREA_HA","CZ02","2010",554520
"TOTAL","TOTAL","AGRAREA_HA","CZ03","2010",732170
"TOTAL","TOTAL","AGRAREA_HA","CZ04","2010",318850
"TOTAL","TOTAL","AGRAREA_HA","CZ05","2010",559120
"TOTAL","TOTAL","AGRAREA_HA","CZ06","2010",714590
"TOTAL","TOTAL","AGRAREA_HA","CZ07","2010",384990
"TOTAL","TOTAL","AGRAREA_HA","CZ08","2010",208150
"TOTAL","TOTAL","AGRAREA_HA","DK01","2010",98560
"TOTAL","TOTAL","AGRAREA_HA","DK02","2010",477770
"TOTAL","TOTAL","AGRAREA_HA","DK03","2010",787860
"TOTAL","TOTAL","AGRAREA_HA","DK04","2010",791780
"TOTAL","TOTAL","AGRAREA_HA","DK05","2010",490900
"TOTAL","TOTAL","AGRAREA_HA","EE00","2010",940930
"TOTAL","TOTAL","AGRAREA_HA","EL11","2010",636450
"TOTAL","TOTAL","AGRAREA_HA","EL12","2010",966770
"TOTAL","TOTAL","AGRAREA_HA","EL13","2010",307890
"TOTAL","TOTAL","AGRAREA_HA","EL14","2010",730080
"TOTAL","TOTAL","AGRAREA_HA","EL21","2010",207290
"TOTAL","TOTAL","AGRAREA_HA","EL22","2010",88450
"TOTAL","TOTAL","AGRAREA_HA","EL23","2010",400290
"TOTAL","TOTAL","AGRAREA_HA","EL24","2010",565740
"TOTAL","TOTAL","AGRAREA_HA","EL25","2010",502470
"TOTAL","TOTAL","AGRAREA_HA","EL30","2010",50910
"TOTAL","TOTAL","AGRAREA_HA","EL41","2010",168610
"TOTAL","TOTAL","AGRAREA_HA","EL42","2010",106080
"TOTAL","TOTAL","AGRAREA_HA","EL43","2010",446490
"TOTAL","TOTAL","AGRAREA_HA","ES11","2010",647600
"TOTAL","TOTAL","AGRAREA_HA","ES12","2010",363180
"TOTAL","TOTAL","AGRAREA_HA","ES13","2010",235240
"TOTAL","TOTAL","AGRAREA_HA","ES21","2010",190390
"TOTAL","TOTAL","AGRAREA_HA","ES22","2010",545520
"TOTAL","TOTAL","AGRAREA_HA","ES23","2010",230220
"TOTAL","TOTAL","AGRAREA_HA","ES24","2010",2345700
"TOTAL","TOTAL","AGRAREA_HA","ES30","2010",315260
"TOTAL","TOTAL","AGRAREA_HA","ES41","2010",5362470
"TOTAL","TOTAL","AGRAREA_HA","ES42","2010",4091440
"TOTAL","TOTAL","AGRAREA_HA","ES43","2010",2585900
"TOTAL","TOTAL","AGRAREA_HA","ES51","2010",1147530
"TOTAL","TOTAL","AGRAREA_HA","ES52","2010",657470
"TOTAL","TOTAL","AGRAREA_HA","ES53","2010",182320
"TOTAL","TOTAL","AGRAREA_HA","ES61","2010",4402760
"TOTAL","TOTAL","AGRAREA_HA","ES62","2010",394540
"TOTAL","TOTAL","AGRAREA_HA","ES63","2010",0
"TOTAL","TOTAL","AGRAREA_HA","ES64","2010",0
"TOTAL","TOTAL","AGRAREA_HA","ES70","2010",55070
"TOTAL","TOTAL","AGRAREA_HA","FI19","2010",793380
"TOTAL","TOTAL","AGRAREA_HA","FI1B","2010",184760
"TOTAL","TOTAL","AGRAREA_HA","FI1C","2010",627220
"TOTAL","TOTAL","AGRAREA_HA","FI1D","2010",665990
"TOTAL","TOTAL","AGRAREA_HA","FI20","2010",19620
"TOTAL","TOTAL","AGRAREA_HA","FR10","2010",568840
"TOTAL","TOTAL","AGRAREA_HA","FR21","2010",1536950
"TOTAL","TOTAL","AGRAREA_HA","FR22","2010",1328370
"TOTAL","TOTAL","AGRAREA_HA","FR23","2010",774550
"TOTAL","TOTAL","AGRAREA_HA","FR24","2010",2311400
"TOTAL","TOTAL","AGRAREA_HA","FR25","2010",1210810
"TOTAL","TOTAL","AGRAREA_HA","FR26","2010",1762610
"TOTAL","TOTAL","AGRAREA_HA","FR30","2010",817990
"TOTAL","TOTAL","AGRAREA_HA","FR41","2010",1138400
"TOTAL","TOTAL","AGRAREA_HA","FR42","2010",336770
"TOTAL","TOTAL","AGRAREA_HA","FR43","2010",667190
"TOTAL","TOTAL","AGRAREA_HA","FR51","2010",2103390
"TOTAL","TOTAL","AGRAREA_HA","FR52","2010",1639840
"TOTAL","TOTAL","AGRAREA_HA","FR53","2010",1721280
"TOTAL","TOTAL","AGRAREA_HA","FR61","2010",1477320
"TOTAL","TOTAL","AGRAREA_HA","FR62","2010",2540090
"TOTAL","TOTAL","AGRAREA_HA","FR63","2010",838760
"TOTAL","TOTAL","AGRAREA_HA","FR71","2010",1516680
"TOTAL","TOTAL","AGRAREA_HA","FR72","2010",1469490
"TOTAL","TOTAL","AGRAREA_HA","FR81","2010",956590
"TOTAL","TOTAL","AGRAREA_HA","FR82","2010",815450
"TOTAL","TOTAL","AGRAREA_HA","FR83","2010",179940
"TOTAL","TOTAL","AGRAREA_HA","FR91","2010",31420
"TOTAL","TOTAL","AGRAREA_HA","FR92","2010",24980
"TOTAL","TOTAL","AGRAREA_HA","FR93","2010",25350
"TOTAL","TOTAL","AGRAREA_HA","FR94","2010",42810
"TOTAL","TOTAL","AGRAREA_HA","HR03","2010",220380
"TOTAL","TOTAL","AGRAREA_HA","HR04","2010",1095630
"TOTAL","TOTAL","AGRAREA_HA","HU10","2010",259570
"TOTAL","TOTAL","AGRAREA_HA","HU21","2010",531170
"TOTAL","TOTAL","AGRAREA_HA","HU22","2010",524370
"TOTAL","TOTAL","AGRAREA_HA","HU23","2010",689440
"TOTAL","TOTAL","AGRAREA_HA","HU31","2010",523270
