"animals","unit","geo","time","values"
"A2000","THS_HD","EL52","2002",195.3
"A2000","THS_HD","EL53","2002",55.4
"A2000","THS_HD","EL54","2002",48.4
"A2000","THS_HD","EL61","2002",103.4
"A2000","THS_HD","EL62","2002",6.1
"A2000","THS_HD","EL63","2002",40.5
"A2000","THS_HD","EL64","2002",25.3
"A2000","THS_HD","EL65","2002",11.8
"A2000","THS_HD","EL11","2001",81.9
"A2000","THS_HD","EL12","2001",212.1
"A2000","THS_HD","EL13","2001",54.2
"A2000","THS_HD","EL14","2001",67.9
"A2000","THS_HD","EL21","2001",40.4
"A2000","THS_HD","EL22","2001",3.4
"A2000","THS_HD","EL23","2001",32.8
"A2000","THS_HD","EL24","2001",17.1
"A2000","THS_HD","EL25","2001",7.6
"A2000","THS_HD","EL30","2001",7.4
"A2000","THS_HD","EL41","2001",8.8
"A2000","THS_HD","EL42","2001",22.8
"A2000","THS_HD","EL43","2001",2.5
"A2000","THS_HD","EL51","2001",81.9
"A2000","THS_HD","EL52","2001",212.1
"A2000","THS_HD","EL53","2001",54.2
"A2000","THS_HD","EL54","2001",40.4
"A2000","THS_HD","EL61","2001",67.9
"A2000","THS_HD","EL62","2001",3.4
"A2000","THS_HD","EL63","2001",32.8
"A2000","THS_HD","EL64","2001",17.1
"A2000","THS_HD","EL65","2001",7.6
"A2000","THS_HD","EL11","2000",85.3
"A2000","THS_HD","EL12","2000",211.1
"A2000","THS_HD","EL13","2000",53.6
"A2000","THS_HD","EL14","2000",70.4
"A2000","THS_HD","EL21","2000",40.2
"A2000","THS_HD","EL22","2000",5.9
"A2000","THS_HD","EL23","2000",35.4
"A2000","THS_HD","EL24","2000",16.2
"A2000","THS_HD","EL25","2000",7.5
"A2000","THS_HD","EL30","2000",8.7
"A2000","THS_HD","EL41","2000",7.2
"A2000","THS_HD","EL42","2000",20.5
"A2000","THS_HD","EL43","2000",3.5
"A2000","THS_HD","EL51","2000",85.3
"A2000","THS_HD","EL52","2000",211.1
"A2000","THS_HD","EL53","2000",53.6
"A2000","THS_HD","EL54","2000",40.2
"A2000","THS_HD","EL61","2000",70.4
"A2000","THS_HD","EL62","2000",5.9
"A2000","THS_HD","EL63","2000",35.4
"A2000","THS_HD","EL64","2000",16.2
"A2000","THS_HD","EL65","2000",7.5
"A2000","THS_HD","EL11","1999",102.4
"A2000","THS_HD","EL12","1999",219.1
"A2000","THS_HD","EL13","1999",59.4
"A2000","THS_HD","EL14","1999",88.6
"A2000","THS_HD","EL21","1999",52.3
"A2000","THS_HD","EL22","1999",6.3
"A2000","THS_HD","EL23","1999",46.6
"A2000","THS_HD","EL24","1999",20.4
"A2000","THS_HD","EL25","1999",12.3
"A2000","THS_HD","EL30","1999",6.2
"A2000","THS_HD","EL41","1999",12
"A2000","THS_HD","EL42","1999",24.3
"A2000","THS_HD","EL43","1999",2.2
"A2000","THS_HD","EL51","1999",102.4
"A2000","THS_HD","EL52","1999",219.1
"A2000","THS_HD","EL53","1999",59.4
"A2000","THS_HD","EL54","1999",52.3
"A2000","THS_HD","EL61","1999",88.6
"A2000","THS_HD","EL62","1999",6.3
"A2000","THS_HD","EL63","1999",46.6
"A2000","THS_HD","EL64","1999",20.4
"A2000","THS_HD","EL65","1999",12.3
"A2000","THS_HD","EL11","1998",87.7
"A2000","THS_HD","EL12","1998",204.5
"A2000","THS_HD","EL13","1998",53.1
"A2000","THS_HD","EL14","1998",78.6
"A2000","THS_HD","EL21","1998",45.7
"A2000","THS_HD","EL22","1998",5.2
"A2000","THS_HD","EL23","1998",34.8
"A2000","THS_HD","EL24","1998",16.9
"A2000","THS_HD","EL25","1998",10.1
"A2000","THS_HD","EL30","1998",8.7
