"milkitem","dairyprod","geo","time","values"
"PRO","D1110A","RO11","2017",719.6
"PRO","D1110A","RO12","2017",675.3
"PRO","D1110A","RO21","2017",915.3
"PRO","D1110A","RO22","2017",377.6
"PRO","D1110A","RO31","2017",446.1
"PRO","D1110A","RO32","2017",16.8
"PRO","D1110A","RO41","2017",338.8
"PRO","D1110A","RO42","2017",308.2
"PRO","D1110A","SE11","2017",25.71
"PRO","D1110A","SE12","2017",439.37
"PRO","D1110A","SE21","2017",819.49
"PRO","D1110A","SE22","2017",369.89
"PRO","D1110A","SE23","2017",719.15
"PRO","D1110A","SE31","2017",176.86
"PRO","D1110A","SE32","2017",114.34
"PRO","D1110A","SE33","2017",151.86
"PRO","D1110A","SI03","2017",427.01
"PRO","D1110A","SI04","2017",220.97
"PRO","D1110A","SK01","2017",45.05
"PRO","D1110A","SK02","2017",463.21
"PRO","D1110A","SK03","2017",234.97
"PRO","D1110A","SK04","2017",168.5
"PRO","D1110A","TR10","2017",121.94
"PRO","D1110A","TR21","2017",670.83
"PRO","D1110A","TR22","2017",948.83
"PRO","D1110A","TR31","2017",1085.3
"PRO","D1110A","TR32","2017",1117.68
"PRO","D1110A","TR33","2017",1155.55
"PRO","D1110A","TR41","2017",457.86
"PRO","D1110A","TR42","2017",502.21
"PRO","D1110A","TR51","2017",304.38
"PRO","D1110A","TR52","2017",1293.36
"PRO","D1110A","TR61","2017",703.26
"PRO","D1110A","TR62","2017",424.75
"PRO","D1110A","TR63","2017",533.01
"PRO","D1110A","TR71","2017",837.52
"PRO","D1110A","TR72","2017",1046.91
"PRO","D1110A","TR81","2017",173.15
"PRO","D1110A","TR82","2017",640.12
"PRO","D1110A","TR83","2017",1124.44
"PRO","D1110A","TR90","2017",617.17
"PRO","D1110A","TRA1","2017",1069.7
"PRO","D1110A","TRA2","2017",1352.91
"PRO","D1110A","TRB1","2017",537.08
"PRO","D1110A","TRB2","2017",601.57
"PRO","D1110A","TRC1","2017",379.37
"PRO","D1110A","TRC2","2017",750.08
"PRO","D1110A","TRC3","2017",313.31
"PRO","D1110A","UKC1","2017",64
"PRO","D1110A","UKC2","2017",47
"PRO","D1110A","UKD1","2017",906
"PRO","D1110A","UKD3","2017",29
"PRO","D1110A","UKD4","2017",582
"PRO","D1110A","UKD6","2017",796
"PRO","D1110A","UKD7","2017",16
"PRO","D1110A","UKE1","2017",31
"PRO","D1110A","UKE2","2017",537
"PRO","D1110A","UKE3","2017",42
"PRO","D1110A","UKE4","2017",86
"PRO","D1110A","UKF1","2017",394
"PRO","D1110A","UKF2","2017",203
"PRO","D1110A","UKF3","2017",41
"PRO","D1110A","UKG1","2017",245
"PRO","D1110A","UKG2","2017",1113
"PRO","D1110A","UKG3","2017",12
"PRO","D1110A","UKH1","2017",82
"PRO","D1110A","UKH2","2017",18
"PRO","D1110A","UKH3","2017",17
"PRO","D1110A","UKI3","2017",0
"PRO","D1110A","UKI4","2017",0
"PRO","D1110A","UKI5","2017",0
"PRO","D1110A","UKI6","2017",0
"PRO","D1110A","UKJ1","2017",145
"PRO","D1110A","UKJ2","2017",182
"PRO","D1110A","UKJ3","2017",117
"PRO","D1110A","UKJ4","2017",86
"PRO","D1110A","UKK1","2017",657
"PRO","D1110A","UKK2","2017",1226
"PRO","D1110A","UKK3","2017",610
"PRO","D1110A","UKK4","2017",1131
"PRO","D1110A","UKL1","2017",1473
"PRO","D1110A","UKL2","2017",574
"PRO","D1110A","UKM5","2017",56
"PRO","D1110A","UKM6","2017",83
"PRO","D1110A","UKM7","2017",133
"PRO","D1110A","UKM8","2017",60
"PRO","D1110A","UKM9","2017",1091
"PRO","D1110A","UKN0","2017",2555
"PRO","D1110A","AT11","2016",29.4
"PRO","D1110A","AT12","2016",707.51
"PRO","D1110A","AT13","2016",0
"PRO","D1110A","AT21","2016",229.37
"PRO","D1110A","AT22","2016",568.47
"PRO","D1110A","AT31","2016",1126.93
"PRO","D1110A","AT32","2016",368.44
"PRO","D1110A","AT33","2016",415.39
"PRO","D1110A","AT34","2016",182.1
"PRO","D1110A","BE10","2016",0
"PRO","D1110A","BE21","2016",663.36
"PRO","D1110A","BE22","2016",304.08
"PRO","D1110A","BE23","2016",611.39
"PRO","D1110A","BE24","2016",119.49
"PRO","D1110A","BE25","2016",737
"PRO","D1110A","BE31","2016",53.44
"PRO","D1110A","BE32","2016",401.31
"PRO","D1110A","BE33","2016",609.23
"PRO","D1110A","BE34","2016",189.78
"PRO","D1110A","BE35","2016",205.49
"PRO","D1110A","BG31","2016",142
"PRO","D1110A","BG32","2016",150
"PRO","D1110A","BG33","2016",179
"PRO","D1110A","BG34","2016",213
"PRO","D1110A","BG41","2016",76
"PRO","D1110A","BG42","2016",259
"PRO","D1110A","CY00","2016",186.02
"PRO","D1110A","CZ01","2016",4.51
"PRO","D1110A","CZ02","2016",381.44
"PRO","D1110A","CZ03","2016",674.06
"PRO","D1110A","CZ04","2016",116.03
"PRO","D1110A","CZ05","2016",613.17
"PRO","D1110A","CZ06","2016",749.64
"PRO","D1110A","CZ07","2016",352.59
"PRO","D1110A","CZ08","2016",173.28
"PRO","D1110A","DE13","2016",415.83
"PRO","D1110A","DE14","2016",1125.33
"PRO","D1110A","DE21","2016",2465.41
"PRO","D1110A","DE22","2016",995.57
"PRO","D1110A","DE25","2016",776.79
"PRO","D1110A","DE27","2016",2011.26
"PRO","D1110A","DE30","2016",1.12
"PRO","D1110A","DE50","2016",27.99
"PRO","D1110A","DE60","2016",7.57
"PRO","D1110A","DE71","2016",204.69
"PRO","D1110A","DE72","2016",265.19
"PRO","D1110A","DE73","2016",559.87
"PRO","D1110A","DE80","2016",1548.79
"PRO","D1110A","DE91","2016",199
"PRO","D1110A","DE92","2016",583.82
"PRO","D1110A","DE93","2016",2675.03
"PRO","D1110A","DE94","2016",3481.06
"PRO","D1110A","DEA1","2016",826.29
"PRO","D1110A","DEA2","2016",642.5
"PRO","D1110A","DEA3","2016",876.82
"PRO","D1110A","DEA4","2016",470.25
"PRO","D1110A","DEA5","2016",506.04
"PRO","D1110A","DEB1","2016",272.23
"PRO","D1110A","DEB2","2016",490.51
"PRO","D1110A","DEB3","2016",94.69
