"indic_ef","agrarea","geo","time","values"
"AGRAREA_HA","TOTAL","NO07","2013",89210
"AGRAREA_HA","TOTAL","PL","2013",14409870
"AGRAREA_HA","TOTAL","PL11","2013",968400
"AGRAREA_HA","TOTAL","PL12","2013",1842830
"AGRAREA_HA","TOTAL","PL21","2013",543640
"AGRAREA_HA","TOTAL","PL22","2013",357630
"AGRAREA_HA","TOTAL","PL31","2013",1363140
"AGRAREA_HA","TOTAL","PL32","2013",561220
"AGRAREA_HA","TOTAL","PL33","2013",491470
"AGRAREA_HA","TOTAL","PL34","2013",1058850
"AGRAREA_HA","TOTAL","PL41","2013",1722960
"AGRAREA_HA","TOTAL","PL42","2013",839070
"AGRAREA_HA","TOTAL","PL43","2013",413890
"AGRAREA_HA","TOTAL","PL51","2013",910730
"AGRAREA_HA","TOTAL","PL52","2013",520990
"AGRAREA_HA","TOTAL","PL61","2013",1039610
"AGRAREA_HA","TOTAL","PL62","2013",1048740
"AGRAREA_HA","TOTAL","PL63","2013",726690
"AGRAREA_HA","TOTAL","PT","2013",3641590
"AGRAREA_HA","TOTAL","PT11","2013",646610
"AGRAREA_HA","TOTAL","PT15","2013",92230
"AGRAREA_HA","TOTAL","PT16","2013",558020
"AGRAREA_HA","TOTAL","PT17","2013",74370
"AGRAREA_HA","TOTAL","PT18","2013",2146510
"AGRAREA_HA","TOTAL","PT20","2013",118590
"AGRAREA_HA","TOTAL","PT30","2013",5260
"AGRAREA_HA","TOTAL","RO","2013",13055850
"AGRAREA_HA","TOTAL","RO11","2013",1783180
"AGRAREA_HA","TOTAL","RO12","2013",1693990
"AGRAREA_HA","TOTAL","RO21","2013",1937080
"AGRAREA_HA","TOTAL","RO22","2013",2092500
"AGRAREA_HA","TOTAL","RO31","2013",2250950
"AGRAREA_HA","TOTAL","RO32","2013",75570
"AGRAREA_HA","TOTAL","RO41","2013",1574200
"AGRAREA_HA","TOTAL","RO42","2013",1648380
"AGRAREA_HA","TOTAL","SE","2013",3035920
"AGRAREA_HA","TOTAL","SE11","2013",92000
"AGRAREA_HA","TOTAL","SE12","2013",786510
"AGRAREA_HA","TOTAL","SE21","2013",502900
"AGRAREA_HA","TOTAL","SE22","2013",535970
"AGRAREA_HA","TOTAL","SE23","2013",652920
"AGRAREA_HA","TOTAL","SE31","2013",254480
"AGRAREA_HA","TOTAL","SE32","2013",104450
"AGRAREA_HA","TOTAL","SE33","2013",106680
"AGRAREA_HA","TOTAL","SI","2013",485760
"AGRAREA_HA","TOTAL","SI01","2013",342480
"AGRAREA_HA","TOTAL","SI02","2013",143270
"AGRAREA_HA","TOTAL","SK","2013",1901610
"AGRAREA_HA","TOTAL","SK01","2013",78640
"AGRAREA_HA","TOTAL","SK02","2013",817390
"AGRAREA_HA","TOTAL","SK03","2013",465740
"AGRAREA_HA","TOTAL","SK04","2013",539840
"AGRAREA_HA","TOTAL","UK","2013",17096170
"AGRAREA_HA","TOTAL","UKC1","2013",208350
"AGRAREA_HA","TOTAL","UKC2","2013",392980
"AGRAREA_HA","TOTAL","UKD1","2013",570830
"AGRAREA_HA","TOTAL","UKD3","2013",37130
"AGRAREA_HA","TOTAL","UKD4","2013",218720
"AGRAREA_HA","TOTAL","UKD6","2013",162980
"AGRAREA_HA","TOTAL","UKD7","2013",19880
"AGRAREA_HA","TOTAL","UKE1","2013",265560
"AGRAREA_HA","TOTAL","UKE2","2013",693220
"AGRAREA_HA","TOTAL","UKE3","2013",81260
"AGRAREA_HA","TOTAL","UKE4","2013",104780
"AGRAREA_HA","TOTAL","UKF1","2013",314890
"AGRAREA_HA","TOTAL","UKF2","2013",355550
"AGRAREA_HA","TOTAL","UKF3","2013",465820
"AGRAREA_HA","TOTAL","UKG1","2013",438370
"AGRAREA_HA","TOTAL","UKG2","2013",465360
"AGRAREA_HA","TOTAL","UKG3","2013",14160
"AGRAREA_HA","TOTAL","UKH1","2013",898170
"AGRAREA_HA","TOTAL","UKH2","2013",165930
"AGRAREA_HA","TOTAL","UKH3","2013",235540
"AGRAREA_HA","TOTAL","UKI1","2013",
"AGRAREA_HA","TOTAL","UKI2","2013",11420
"AGRAREA_HA","TOTAL","UKJ1","2013",361510
"AGRAREA_HA","TOTAL","UKJ2","2013",274410
"AGRAREA_HA","TOTAL","UKJ3","2013",241810
"AGRAREA_HA","TOTAL","UKJ4","2013",212210
"AGRAREA_HA","TOTAL","UKK1","2013",537850
"AGRAREA_HA","TOTAL","UKK2","2013",465600
"AGRAREA_HA","TOTAL","UKK3","2013",275310
"AGRAREA_HA","TOTAL","UKK4","2013",525800
"AGRAREA_HA","TOTAL","UKL1","2013",1094040
"AGRAREA_HA","TOTAL","UKL2","2013",651500
"AGRAREA_HA","TOTAL","UKM2","2013",1247660
"AGRAREA_HA","TOTAL","UKM3","2013",798340
"AGRAREA_HA","TOTAL","UKM5","2013",478770
"AGRAREA_HA","TOTAL","UKM6","2013",2763560
"AGRAREA_HA","TOTAL","UKN0","2013",1046140
"AGRAREA_HA","TOTAL","AT","2010",2878170
"AGRAREA_HA","TOTAL","AT11","2010",187890
"AGRAREA_HA","TOTAL","AT12","2010",911680
"AGRAREA_HA","TOTAL","AT13","2010",7410
"AGRAREA_HA","TOTAL","AT21","2010",253570
"AGRAREA_HA","TOTAL","AT22","2010",407260
"AGRAREA_HA","TOTAL","AT31","2010",529460
"AGRAREA_HA","TOTAL","AT32","2010",195110
"AGRAREA_HA","TOTAL","AT33","2010",290720
"AGRAREA_HA","TOTAL","AT34","2010",95070
"AGRAREA_HA","TOTAL","BE","2010",1358020
"AGRAREA_HA","TOTAL","BE10","2010",270
"AGRAREA_HA","TOTAL","BE21","2010",89150
"AGRAREA_HA","TOTAL","BE22","2010",83170
"AGRAREA_HA","TOTAL","BE23","2010",149050
"AGRAREA_HA","TOTAL","BE24","2010",87580
"AGRAREA_HA","TOTAL","BE25","2010",207910
"AGRAREA_HA","TOTAL","BE31","2010",62970
"AGRAREA_HA","TOTAL","BE32","2010",217210
"AGRAREA_HA","TOTAL","BE33","2010",159160
"AGRAREA_HA","TOTAL","BE34","2010",143830
"AGRAREA_HA","TOTAL","BE35","2010",157720
"AGRAREA_HA","TOTAL","BG","2010",4475530
"AGRAREA_HA","TOTAL","BG31","2010",881670
"AGRAREA_HA","TOTAL","BG32","2010",806130
"AGRAREA_HA","TOTAL","BG33","2010",804550
"AGRAREA_HA","TOTAL","BG34","2010",874260
"AGRAREA_HA","TOTAL","BG41","2010",480870
"AGRAREA_HA","TOTAL","BG42","2010",628040
"AGRAREA_HA","TOTAL","CH","2010",1047800
"AGRAREA_HA","TOTAL","CH01","2010",157670
"AGRAREA_HA","TOTAL","CH02","2010",369650
"AGRAREA_HA","TOTAL","CH03","2010",83120
"AGRAREA_HA","TOTAL","CH04","2010",73470
"AGRAREA_HA","TOTAL","CH05","2010",216820
"AGRAREA_HA","TOTAL","CH06","2010",132860
"AGRAREA_HA","TOTAL","CH07","2010",14220
"AGRAREA_HA","TOTAL","CY","2010",118400
"AGRAREA_HA","TOTAL","CY00","2010",118400
"AGRAREA_HA","TOTAL","CZ","2010",3483500
"AGRAREA_HA","TOTAL","CZ01","2010",11100
"AGRAREA_HA","TOTAL","CZ02","2010",554520
