"animals","unit","geo","time","values"
"A2000","THS_HD","RO12","2017",347.4
"A2000","THS_HD","RO2","2017",729.4
"A2000","THS_HD","RO21","2017",499.7
"A2000","THS_HD","RO22","2017",229.7
"A2000","THS_HD","RO3","2017",232.6
"A2000","THS_HD","RO31","2017",225.7
"A2000","THS_HD","RO32","2017",6.9
"A2000","THS_HD","RO4","2017",335.5
"A2000","THS_HD","RO41","2017",178.2
"A2000","THS_HD","RO42","2017",157.3
"A2000","THS_HD","RS1","2017",308
"A2000","THS_HD","RS11","2017",48
"A2000","THS_HD","RS12","2017",260
"A2000","THS_HD","RS2","2017",591
"A2000","THS_HD","RS21","2017",412
"A2000","THS_HD","RS22","2017",179
"A2000","THS_HD","SE1","2017",258.15
"A2000","THS_HD","SE11","2017",16.44
"A2000","THS_HD","SE12","2017",241.71
"A2000","THS_HD","SE2","2017",961.68
"A2000","THS_HD","SE21","2017",391.91
"A2000","THS_HD","SE22","2017",229.18
"A2000","THS_HD","SE23","2017",340.59
"A2000","THS_HD","SE3","2017",228.76
"A2000","THS_HD","SE31","2017",121.1
"A2000","THS_HD","SE32","2017",53.76
"A2000","THS_HD","SE33","2017",53.91
"A2000","THS_HD","SI03","2017",333.99
"A2000","THS_HD","SI04","2017",145.62
"A2000","THS_HD","SK0","2017",439.89
"A2000","THS_HD","SK01","2017",14.28
"A2000","THS_HD","SK02","2017",154.48
"A2000","THS_HD","SK03","2017",139.99
"A2000","THS_HD","SK04","2017",131.08
"A2000","THS_HD","UKC","2017",254
"A2000","THS_HD","UKD","2017",948
"A2000","THS_HD","UKE","2017",543
"A2000","THS_HD","UKF","2017",492
"A2000","THS_HD","UKG","2017",722
"A2000","THS_HD","UKH","2017",191
"A2000","THS_HD","UKI","2017",0
"A2000","THS_HD","UKJ","2017",409
"A2000","THS_HD","UKK","2017",1787
"A2000","THS_HD","UKL","2017",1123
"A2000","THS_HD","UKM","2017",1694
"A2000","THS_HD","UKN","2017",1623
"A2000","THS_HD","UKN0","2017",1627
"A2000","THS_HD","AT1","2016",459.08
"A2000","THS_HD","AT11","2016",20.43
"A2000","THS_HD","AT12","2016",438.55
"A2000","THS_HD","AT13","2016",0.1
"A2000","THS_HD","AT2","2016",509.02
"A2000","THS_HD","AT21","2016",186.72
"A2000","THS_HD","AT22","2016",322.29
"A2000","THS_HD","AT3","2016",986.3
"A2000","THS_HD","AT31","2016",569.88
"A2000","THS_HD","AT32","2016",166.9
"A2000","THS_HD","AT33","2016",183.46
"A2000","THS_HD","AT34","2016",66.06
"A2000","THS_HD","BE1","2016",0.5
"A2000","THS_HD","BE10","2016",0.5
"A2000","THS_HD","BE2","2016",1326.77
"A2000","THS_HD","BE21","2016",337.53
"A2000","THS_HD","BE22","2016",137
"A2000","THS_HD","BE23","2016",331.74
"A2000","THS_HD","BE24","2016",105.07
"A2000","THS_HD","BE25","2016",415.43
"A2000","THS_HD","BE3","2016",1174.08
"A2000","THS_HD","BE31","2016",50.08
"A2000","THS_HD","BE32","2016",301.28
"A2000","THS_HD","BE33","2016",259.74
"A2000","THS_HD","BE34","2016",330.23
"A2000","THS_HD","BE35","2016",232.74
"A2000","THS_HD","BG3","2016",320.9
